dependency,projects,total_cves,rows
@octokit/plugin-paginate-rest,1,1,1
@octokit/request,1,1,1
Babel,1,2,2
Brotli,1,2,2
Django,3,23,45
Flask,2,4,4
GitPython,2,5,14
IPython,1,5,5
Jinja2,5,10,54
Keras,1,8,8
Pillow,8,51,539
Products.CMFCore,1,3,3
Products.PlonePAS,1,1,1
Products.PluggableAuthService,1,2,2
Products.isurlinportal,1,1,1
PyJWT,2,2,2
PyMySQL,1,1,1
PyPDF,1,3,3
PyPDF2,2,3,7
PyYAML,4,4,10
Pygments,2,3,4
SQLAlchemy,1,3,3
Sphinx,1,2,2
WebOb,6,1,6
Werkzeug,2,9,25
Zope2,1,2,2
ag-grid-community,1,1,2
aim,1,19,19
aiohttp,1,13,13
aircompressor,1,1,2
amqp,1,0,0
async,5,1,8
authlib,1,6,6
azure-storage-blob,3,1,3
babel,1,2,2
babel-traverse,2,1,3
base-x,1,1,1
base64-url,1,0,0
basic-auth-connect,1,1,1
black,2,1,2
body-parser,2,1,2
boto3,5,0,0
botocore,3,0,0
braces,4,2,10
brotli,1,1,1
cacheable-request,1,0,0
certifi,1,3,3
cipher-base,1,1,1
clickhouse-driver,1,1,1
codecov,1,1,1
commons-codec,1,0,0
commons-compress,1,3,6
commons-io,1,1,3
commons-lang3,2,1,3
concat-stream,1,0,0
cookie,7,1,10
couchbase,1,1,2
croniter,1,0,0
cross-spawn,3,1,5
cryptography,14,29,314
d3-color,1,0,0
dask,1,1,1
defusedxml,3,2,8
diff,1,0,0
django-cors-headers,1,0,0
django-debug-toolbar,1,1,1
django-filter,1,1,1
django-storages,1,0,0
djangorestframework,1,1,1
djangorestframework-simplejwt,1,1,1
dnspython,4,1,10
drf-spectacular,1,0,0
dspy,2,1,2
ejs,1,1,1
elliptic,1,5,5
eslint,1,0,0
eventlet,5,2,23
express,1,1,1
fast-loops,1,1,1
fastapi,2,2,5
feedparser,2,5,10
flask,2,3,6
flex,1,0,0
form-data,2,1,3
future,1,1,1
gevent,1,1,3
gitpython,2,5,19
got,1,1,2
gradio,2,44,155
grunt,1,2,2
gson,1,1,1
guava,1,2,6
gunicorn,6,3,28
h11,2,1,2
h2o,1,5,5
happy-dom,1,1,1
hawk,1,1,1
haystack-ai,1,1,2
http-proxy,1,0,0
http-proxy-middleware,2,3,6
httplib2,1,3,3
https-proxy-agent,1,0,0
httpx,4,1,4
hug,1,0,0
huggingface-hub,1,0,0
hypothesis,2,0,0
idna,1,1,3
immer,1,1,1
ip,1,1,2
ipython,3,5,7
ivy,1,1,2
janino,1,1,2
jinja2,7,10,91
joblib,1,1,1
js-yaml,1,0,0
junit,1,1,2
jwcrypto,1,4,8
kaml,1,2,2
keras,1,8,8
langchain,4,21,51
ldap3,1,0,0
lightgbm,1,1,1
lightning,1,1,2
litellm,2,16,23
llama-cpp-python,1,0,0
llama-index,1,9,9
llama_index,1,0,0
loader-utils,3,1,7
lodash,2,0,0
lxml,12,6,78
lxml-html-clean,1,1,1
marshmallow,1,1,1
matplotlib,2,1,13
meraki,1,0,0
mermaid,1,1,1
micromatch,5,1,9
min-document,1,1,1
minimist,1,0,0
mistune,1,1,1
mlflow,2,53,304
moment,1,1,2
ms,1,1,3
msal,2,0,0
msgpack,1,0,0
mysql-connector-python,1,1,1
netty-codec-http,2,2,5
netty-codec-http2,2,1,3
netty-common,2,2,6
netty-handler,2,2,5
networkx,2,0,0
nltk,1,5,5
node-forge,1,3,3
numpy,6,7,317
nwsapi,1,0,0
oauthlib,2,0,0
okio,1,1,1
on-headers,3,1,3
opencv-python,1,15,120
