cve_id,published_ts,cvss3_base_score,problemtype_json,repo_url,repo_name
CVE-2008-0252,2008-01-12 02:46:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-22'}]}]",https://github.com/cherrypy/cherrypy,cherrypy/cherrypy
CVE-2024-24156,2024-03-16 06:15:00+00,nan,[{'description': []}],https://github.com/gnuboard/g6,gnuboard/g6
CVE-2024-24156,2024-03-16 06:15:00+00,nan,[{'description': []}],https://github.com/gnuboard/g6,gnuboard/g6
CVE-2024-24156,2024-03-16 06:15:00+00,nan,[{'description': []}],https://github.com/gnuboard/g6,gnuboard/g6
CVE-2024-39097,2024-08-26 15:15:00+00,nan,[{'description': []}],https://github.com/gnuboard/g6,gnuboard/g6
CVE-2010-4534,2011-01-10 20:00:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/django/django,django/django
CVE-2011-1948,2011-06-06 19:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/plone/Plone,plone/Plone
CVE-2011-4076,2019-11-26 04:15:00+00,5.9,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2011-4124,2021-10-27 01:15:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/kovidgoyal/calibre,kovidgoyal/calibre
CVE-2011-4125,2021-10-27 01:15:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-426'}]}]",https://github.com/kovidgoyal/calibre,kovidgoyal/calibre
CVE-2011-4126,2021-10-27 01:15:00+00,8.1,"[{'description': [{'lang': 'en', 'value': 'CWE-367'}]}]",https://github.com/kovidgoyal/calibre,kovidgoyal/calibre
CVE-2012-2144,2012-06-05 22:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",https://github.com/openstack/horizon,openstack/horizon
CVE-2012-2238,2019-11-21 14:15:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-863'}]}]",https://github.com/tryton/trytond,tryton/trytond
CVE-2012-2395,2012-06-16 00:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",https://github.com/cobbler/cobbler,cobbler/cobbler
CVE-2012-4404,2012-09-10 22:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/moinwiki/moin,moinwiki/moin
CVE-2012-4406,2012-10-22 23:55:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-502'}]}]",https://github.com/openstack/swift,openstack/swift
CVE-2012-4413,2012-09-18 17:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/openstack/keystone,openstack/keystone
CVE-2012-4456,2012-10-09 15:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/openstack/keystone,openstack/keystone
CVE-2012-4456,2012-10-09 15:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/openstack/keystone,openstack/keystone
CVE-2012-4456,2012-10-09 15:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/openstack/keystone,openstack/keystone
CVE-2012-4456,2012-10-09 15:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/openstack/keystone,openstack/keystone
CVE-2012-4457,2012-10-09 15:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/openstack/keystone,openstack/keystone
CVE-2012-4457,2012-10-09 15:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/openstack/keystone,openstack/keystone
CVE-2013-0208,2013-02-13 16:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2013-0208,2013-02-13 16:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2013-0212,2013-02-24 21:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/glance,openstack/glance
CVE-2013-0212,2013-02-24 21:55:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/glance,openstack/glance
